Date,kwai,programmatic,infleux,affiliates,influencer,liftOff,indicacao,paid_social,paid_search,digital_app
5/8/2023,1288.00,40700.00,6487.00,334.00,292.00,,2328.00,6014.00,376.00,7809.00
5/9/2023,1142.00,49323.00,17330.00,369.00,95.00,,2786.00,6947.00,346.00,8572.00
5/10/2023,1102.00,55768.00,17065.00,381.00,151.00,,2331.00,6132.00,332.00,13655.00
5/11/2023,968.00,54028.00,2531.00,435.00,65.00,,2710.00,6448.00,277.00,10213.00
5/12/2023,1026.00,57084.00,2802.00,352.00,31.00,,1706.00,4688.00,368.00,7793.00
5/13/2023,947.00,49772.00,2618.00,410.00,39.00,,1005.00,3727.00,278.00,6496.00
5/14/2023,982.00,42586.00,1735.00,212.00,20.00,,606.00,4034.00,304.00,5933.00
5/15/2023,1229.00,44786.00,3993.00,363.00,142.00,,944.00,7368.00,492.00,8754.00
5/16/2023,1510.00,23624.00,4656.00,293.00,361.00,,1685.00,9297.00,685.00,12116.00
5/17/2023,1333.00,16330.00,2574.00,313.00,78.00,,1436.00,8341.00,580.00,10826.00
5/18/2023,1568.00,13638.00,3934.00,379.00,136.00,,1509.00,8253.00,663.00,11071.00
5/19/2023,1654.00,11303.00,6181.00,761.00,59.00,,1298.00,7020.00,452.00,10742.00
5/20/2023,1488.00,8442.00,6591.00,841.00,61.00,,1034.00,5369.00,388.00,9747.00
5/21/2023,1649.00,6554.00,3614.00,526.00,122.00,,932.00,5799.00,405.00,9750.00
5/22/2023,1970.00,7719.00,6489.00,585.00,260.00,,1724.00,9565.00,414.00,12472.00
5/23/2023,2009.00,6073.00,13353.00,1144.00,226.00,,3344.00,12431.00,423.00,13882.00
5/24/2023,1632.00,7326.00,29366.00,1099.00,353.00,,3058.00,12150.00,388.00,13386.00
5/25/2023,1552.00,6398.00,22134.00,1026.00,179.00,,1686.00,11246.00,438.00,12976.00
5/26/2023,1420.00,4885.00,8835.00,643.00,156.00,,1737.00,10253.00,301.00,12742.00
5/27/2023,1432.00,3330.00,837.00,694.00,305.00,,1043.00,8538.00,262.00,11130.00
5/28/2023,1469.00,2886.00,595.00,508.00,377.00,,852.00,8874.00,396.00,10421.00
5/29/2023,1912.00,3708.00,294.00,1037.00,430.00,,1140.00,9658.00,393.00,13118.00
5/30/2023,1885.00,3933.00,151.00,1285.00,290.00,,1484.00,10634.00,338.00,13613.00
5/31/2023,1788.00,4088.00,122.00,891.00,170.00,,1134.00,11050.00,308.00,12764.00
6/1/2023,1590.00,5903.00,2569.00,704.00,128.00,,1090.00,10741.00,352.00,12486.00
6/2/2023,1080.00,8770.00,12805.00,318.00,186.00,,2998.00,10287.00,373.00,11700.00
6/3/2023,1408.00,8642.00,7994.00,289.00,81.00,,1480.00,7418.00,308.00,10373.00
6/4/2023,1525.00,8564.00,1719.00,197.00,59.00,,1288.00,7261.00,388.00,9274.00
6/5/2023,2076.00,23087.00,6934.00,207.00,132.00,,3129.00,8344.00,414.00,11302.00
6/6/2023,2255.00,36438.00,9262.00,206.00,122.00,,2319.00,9198.00,347.00,11011.00
6/7/2023,1684.00,28492.00,4806.00,228.00,158.00,,1933.00,8926.00,327.00,11011.00
6/8/2023,1680.00,21198.00,5129.00,436.00,159.00,,3153.00,8018.00,327.00,10921.00
6/9/2023,1710.00,17539.00,9614.00,347.00,468.00,,2422.00,7554.00,312.00,11594.00
6/10/2023,1607.00,16781.00,10798.00,177.00,768.00,,1604.00,6771.00,265.00,10048.00
6/11/2023,1585.00,16103.00,9757.00,244.00,527.00,,2420.00,7142.00,351.00,8990.00
6/12/2023,2280.00,19985.00,32599.00,390.00,142.00,,2378.00,8370.00,355.00,11424.00
6/13/2023,2301.00,20032.00,18781.00,382.00,364.00,,2914.00,11230.00,231.00,11659.00
6/14/2023,2441.00,17781.00,5420.00,401.00,336.00,,6727.00,11677.00,243.00,12139.00
6/15/2023,2001.00,17475.00,3063.00,362.00,337.00,,4600.00,11042.00,205.00,11975.00
6/16/2023,1559.00,18589.00,6913.00,288.00,225.00,,2660.00,9589.00,197.00,10334.00
6/17/2023,1344.00,16684.00,14731.00,446.00,181.00,,1654.00,8078.00,247.00,10486.00
6/18/2023,1428.00,13121.00,4425.00,276.00,254.00,,1351.00,7665.00,254.00,8421.00
6/19/2023,3006.00,15667.00,8030.00,421.00,654.00,,2575.00,9870.00,222.00,11255.00
6/20/2023,3078.00,14867.00,9877.00,437.00,225.00,,2589.00,9765.00,177.00,11918.00
6/21/2023,2272.00,15676.00,13014.00,868.00,149.00,,2265.00,8808.00,242.00,11368.00
6/22/2023,1945.00,15265.00,23492.00,1141.00,130.00,,1647.00,8226.00,183.00,11004.00
6/23/2023,1387.00,12055.00,3871.00,843.00,185.00,,1607.00,6554.00,172.00,9504.00
6/24/2023,1214.00,11562.00,2595.00,738.00,156.00,,1140.00,5994.00,182.00,8598.00
6/25/2023,1284.00,10321.00,1698.00,720.00,143.00,,1083.00,6427.00,148.00,8928.00
6/26/2023,2875.00,18457.00,2964.00,965.00,176.00,,3393.00,9684.00,181.00,11725.00
6/27/2023,19196.00,20292.00,9721.00,1838.00,212.00,,2305.00,15145.00,163.00,13018.00
6/28/2023,8798.00,21042.00,10272.00,1758.00,217.00,,1903.00,13391.00,168.00,12053.00
6/29/2023,4154.00,20428.00,4701.00,2082.00,354.00,,1353.00,12793.00,181.00,10694.00
6/30/2023,3592.00,23386.00,16722.00,1472.00,223.00,,2577.00,11753.00,110.00,10481.00
7/1/2023,2228.00,22339.00,9384.00,643.00,187.00,,1707.00,9600.00,144.00,9286.00
7/2/2023,1987.00,20858.00,1703.00,385.00,135.00,,1383.00,9143.00,128.00,8862.00
7/3/2023,3915.00,25210.00,5633.00,463.00,238.00,,1939.00,9697.00,147.00,11153.00
7/4/2023,2724.00,26801.00,3450.00,765.00,362.00,,2221.00,10555.00,263.00,13861.00
7/5/2023,2266.00,30529.00,1968.00,1451.00,288.00,,3001.00,9884.00,261.00,12087.00
7/6/2023,1672.00,29553.00,4689.00,865.00,212.00,,2205.00,9597.00,306.00,11648.00
7/7/2023,1264.00,26246.00,6992.00,711.00,131.00,,2089.00,9069.00,264.00,11879.00
7/8/2023,779.00,31119.00,10085.00,354.00,147.00,,1603.00,7871.00,177.00,10482.00
7/9/2023,808.00,34519.00,12160.00,617.00,172.00,,1280.00,8256.00,199.00,11102.00
7/10/2023,1849.00,38974.00,8876.00,1359.00,187.00,,2806.00,10763.00,231.00,13778.00
7/11/2023,1395.00,39853.00,6306.00,812.00,233.00,,3194.00,11520.00,305.00,13638.00
7/12/2023,915.00,39488.00,5658.00,465.00,275.00,,2478.00,10513.00,265.00,13475.00
7/13/2023,784.00,38985.00,4748.00,416.00,198.00,,1718.00,9359.00,271.00,12806.00
7/14/2023,642.00,41370.00,3258.00,473.00,93.00,,1637.00,8356.00,226.00,11876.00
7/15/2023,1079.00,35785.00,7205.00,352.00,114.00,,1081.00,8391.00,193.00,9804.00
7/16/2023,1032.00,33732.00,6358.00,585.00,272.00,,992.00,8058.00,186.00,9582.00
7/17/2023,2221.00,38984.00,21064.00,1361.00,629.00,,1367.00,9374.00,291.00,14371.00
7/18/2023,2472.00,39646.00,14006.00,562.00,637.00,,1969.00,9739.00,313.00,14747.00
7/19/2023,2310.00,37678.00,3564.00,733.00,357.00,,1692.00,8863.00,278.00,13663.00
7/20/2023,1717.00,31168.00,4942.00,849.00,323.00,,1454.00,8634.00,253.00,14105.00
7/21/2023,1463.00,27594.00,3407.00,934.00,174.00,,2952.00,7685.00,285.00,13502.00
7/22/2023,1036.00,24110.00,4003.00,540.00,162.00,,1497.00,6960.00,181.00,11720.00
7/23/2023,1076.00,21429.00,15905.00,404.00,107.00,,1327.00,7049.00,209.00,10774.00
7/24/2023,19918.00,29327.00,16483.00,841.00,369.00,,1652.00,7879.00,283.00,14695.00
7/25/2023,5916.00,31067.00,4763.00,1823.00,216.00,,2741.00,9392.00,322.00,12746.00
7/26/2023,2539.00,26779.00,13059.00,938.00,339.00,,4440.00,8635.00,342.00,13402.00
7/27/2023,1988.00,22906.00,7033.00,709.00,308.00,,2393.00,7833.00,283.00,14259.00
7/28/2023,1694.00,17737.00,5687.00,811.00,394.00,,2196.00,8285.00,276.00,13903.00
7/29/2023,1307.00,15747.00,5040.00,581.00,231.00,,1452.00,5978.00,212.00,12056.00
7/30/2023,1087.00,14087.00,6960.00,361.00,264.00,,1183.00,8881.00,180.00,10473.00
7/31/2023,1698.00,16651.00,8138.00,978.00,554.00,,1892.00,8064.00,253.00,13298.00
8/1/2023,1584.00,19548.00,19096.00,1199.00,295.00,,2039.00,10193.00,246.00,13319.00
8/2/2023,1287.00,21316.00,25399.00,596.00,358.00,,1823.00,10449.00,256.00,12639.00
8/3/2023,789.00,24972.00,10283.00,1172.00,470.00,,1767.00,9557.00,295.00,13199.00
8/4/2023,599.00,28800.00,7615.00,1528.00,218.00,,1765.00,9335.00,265.00,12797.00
8/5/2023,509.00,30164.00,1635.00,607.00,146.00,,1423.00,7318.00,201.00,10992.00
8/6/2023,657.00,28744.00,8482.00,444.00,134.00,,1057.00,7068.00,209.00,10032.00
8/7/2023,655.00,31661.00,13393.00,690.00,277.00,,1712.00,9477.00,223.00,13492.00
8/8/2023,16724.00,27018.00,3826.00,644.00,642.00,,1825.00,9874.00,278.00,14869.00
8/9/2023,5052.00,22298.00,3987.00,1234.00,326.00,,1788.00,8164.00,249.00,13835.00
8/10/2023,2163.00,20758.00,7292.00,856.00,233.00,,1770.00,5483.00,314.00,14140.00
8/11/2023,1458.00,21989.00,1794.00,563.00,171.00,,3508.00,4514.00,289.00,12734.00
8/12/2023,1193.00,21976.00,2653.00,668.00,114.00,,2672.00,5526.00,260.00,11861.00
8/13/2023,1071.00,20555.00,5735.00,334.00,67.00,,1355.00,5250.00,171.00,9997.00
8/14/2023,981.00,18964.00,5567.00,766.00,154.00,,1918.00,7422.00,283.00,14346.00
8/15/2023,1742.00,11521.00,10914.00,692.00,164.00,,2544.00,6474.00,273.00,14606.00
8/16/2023,1844.00,10205.00,9543.00,563.00,201.00,,2155.00,6510.00,258.00,15722.00
8/17/2023,1441.00,8660.00,5135.00,1599.00,195.00,,2964.00,5975.00,331.00,15800.00
8/18/2023,1047.00,8049.00,9064.00,1005.00,206.00,,2433.00,4641.00,181.00,14757.00
8/19/2023,760.00,7624.00,3085.00,654.00,313.00,,1643.00,4040.00,146.00,12854.00
8/20/2023,948.00,7379.00,2100.00,622.00,104.00,,1530.00,4365.00,241.00,12268.00
8/21/2023,16826.00,8039.00,3604.00,798.00,106.00,,2219.00,6360.00,197.00,16239.00
8/22/2023,6593.00,6858.00,5907.00,1511.00,123.00,,2471.00,6934.00,178.00,17038.00
8/23/2023,2212.00,7890.00,1880.00,2324.00,136.00,,2077.00,6495.00,176.00,16713.00
8/24/2023,1924.00,7037.00,3201.00,2041.00,474.00,0.00,1785.00,5788.00,177.00,16546.00
8/25/2023,1514.00,6394.00,4675.00,3533.00,1066.00,,1555.00,3903.00,151.00,15247.00
8/26/2023,1386.00,5221.00,5288.00,2164.00,788.00,,1060.00,3533.00,77.00,13893.00
8/27/2023,1297.00,4894.00,4731.00,1954.00,508.00,,893.00,3280.00,106.00,13230.00
8/28/2023,1449.00,4716.00,5862.00,3798.00,1009.00,,1711.00,6600.00,147.00,17934.00
8/29/2023,1496.00,4342.00,11350.00,4918.00,749.00,,1898.00,8506.00,123.00,17837.00
8/30/2023,1555.00,4329.00,11220.00,3942.00,467.00,,1769.00,8095.00,103.00,16827.00
8/31/2023,1303.00,3517.00,4275.00,2163.00,453.00,,1711.00,6598.00,181.00,15673.00
9/1/2023,1147.00,3793.00,1566.00,1282.00,312.00,,1779.00,5612.00,153.00,14141.00
9/2/2023,842.00,3251.00,1541.00,1191.00,325.00,,1597.00,5272.00,189.00,13243.00
9/3/2023,857.00,2630.00,3518.00,860.00,274.00,,1405.00,5280.00,175.00,12029.00
9/4/2023,16898.00,3592.00,12863.00,1498.00,548.00,,1943.00,6044.00,256.00,17086.00
9/5/2023,7340.00,4304.00,6825.00,1573.00,361.00,,2098.00,6356.00,202.00,16723.00
9/6/2023,2525.00,3456.00,2212.00,945.00,195.00,,2214.00,5479.00,216.00,15336.00
9/7/2023,1612.00,3359.00,2113.00,659.00,162.00,,2288.00,5673.00,217.00,13811.00
9/8/2023,1491.00,3111.00,1529.00,791.00,361.00,,2294.00,4379.00,199.00,16072.00
9/9/2023,1404.00,2960.00,1124.00,869.00,161.00,,1894.00,4412.00,178.00,13661.00
9/10/2023,1237.00,3118.00,2495.00,723.00,166.00,,1596.00,4541.00,236.00,12630.00
9/11/2023,1476.00,3233.00,1968.00,1106.00,172.00,,2217.00,6446.00,246.00,15518.00
9/12/2023,1697.00,3012.00,9528.00,1414.00,228.00,,2187.00,7371.00,213.00,16968.00
9/13/2023,1548.00,2896.00,10313.00,909.00,179.00,,1834.00,6945.00,182.00,15771.00
